filename,width,height,class,xmin,ymin,xmax,ymax
DSC_0380_JPG.rf.d628724ad2b8292948b40d37a90daed1.jpg,512,512,Hawar Daun Bakteri -Xanthomonas oryzae-,77,177,314,295
DSC_0376_JPG.rf.d7d10e2046985276a4b5da0b0539f480.jpg,512,512,Hawar Daun Bakteri -Xanthomonas oryzae-,186,100,364,512
DSC_0380_JPG.rf.db68700f208e86d57b58b83d8ef2e8fc.jpg,512,512,Hawar Daun Bakteri -Xanthomonas oryzae-,77,217,314,335
IMG_20190419_134553_jpg.rf.d5b5408b542608e58a40688d23624af7.jpg,512,512,Health,0,78,512,447
IMG_20190419_113415_jpg.rf.d62e5a497a878b651af9e3d3cc25ec2a.jpg,512,512,Health,0,0,512,512
IMG_20190419_134622_jpg.rf.d5b691c086f08e167bffd37c92d66812.jpg,512,512,Health,0,119,512,447
DSC_0327_JPG.rf.d816dfeea0a729dc51c86738daf4bfac.jpg,512,512,Bercak Daun -Ustilaginoidea virens-,0,183,512,379
DSC_0330_jpg.rf.d94368eddd32ad391ef9d9973626d5e6.jpg,512,512,Bercak Daun -Ustilaginoidea virens-,0,146,512,411
DSC_0328_jpg.rf.d99526f9628d331a180318ccef9654f3.jpg,512,512,Bercak Daun -Ustilaginoidea virens-,0,107,511,408
DSC_0389_JPG.rf.d7e61f99cbc78a7b2ea79bd2f38d42cb.jpg,512,512,Hawar Daun Bakteri -Xanthomonas oryzae-,1,148,310,342
DSC_0389_JPG.rf.d7e61f99cbc78a7b2ea79bd2f38d42cb.jpg,512,512,Hawar Daun Bakteri -Xanthomonas oryzae-,342,124,510,229
DSC_0511_jpg.rf.d8e1eed5cd96778ee71d6e994aae29b3.jpg,512,512,Bercak Daun -Ustilaginoidea virens-,4,0,512,512
DSC_0328_jpg.rf.db075aca9ce7e51c8dd133d970d95900.jpg,512,512,Bercak Daun -Ustilaginoidea virens-,1,107,512,408
DSC_0386_JPG.rf.d66fa8d486609d1976942ff519aa2923.jpg,512,512,Hawar Daun Bakteri -Xanthomonas oryzae-,226,39,404,432
IMG_20190419_095629_jpg.rf.d5408887e9c65247160269fd815a338e.jpg,512,512,Health,0,0,488,512
DSC_0515_jpg.rf.d54f71814e5565b83c012569a2b3363f.jpg,512,512,Bercak Daun -Ustilaginoidea virens-,100,0,408,512
DSC_0110_jpg.rf.d63192aa1a9367784f65d8c6a8c45849.jpg,512,512,Bercak Coklat -Helminthosporium oryzae-,0,45,483,512
